
0.00,0.19,0.06,-9.60,0.00,0.00,0.00,0.19,0.06,-9.60,1.00,-0.00,0.00,0.00,1.00,-0.00,-0.00,0.00,1.00,1

0.04,0.18,0.07,-9.61,0.00,0.00,0.00,0.18,0.08,-9.61,1.00,-0.00,0.00,0.00,1.00,-0.00,-0.00,0.00,1.00,1

0.07,0.19,0.05,-9.60,0.00,0.00,0.00,0.18,0.07,-9.60,1.00,-0.00,0.00,0.00,1.00,-0.00,-0.00,0.00,1.00,1

0.10,0.18,0.06,-9.60,0.00,0.00,0.00,0.18,0.08,-9.60,1.00,-0.00,0.00,0.00,1.00,-0.00,-0.00,0.00,1.00,1

0.13,0.18,0.06,-9.62,0.00,0.00,0.00,0.18,0.09,-9.62,1.00,-0.00,0.00,0.00,1.00,-0.00,-0.00,0.00,1.00,1

0.16,0.19,0.05,-9.60,0.00,0.00,0.00,0.18,0.09,-9.60,1.00,-0.00,0.00,0.00,1.00,-0.00,-0.00,0.00,1.00,1

0.20,0.19,0.06,-9.60,0.00,0.00,0.00,0.18,0.10,-9.60,1.00,-0.00,0.00,0.00,1.00,-0.00,-0.00,0.00,1.00,1

0.23,0.19,0.05,-9.60,0.00,0.00,0.00,0.18,0.11,-9.60,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.26,0.18,0.05,-9.62,0.00,0.00,0.00,0.17,0.12,-9.62,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.30,0.19,0.06,-9.61,0.00,0.00,0.00,0.17,0.13,-9.61,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.33,0.18,0.06,-9.60,0.00,0.00,0.00,0.16,0.13,-9.60,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.36,0.17,0.06,-9.61,0.00,0.00,0.00,0.15,0.14,-9.61,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.39,0.19,0.06,-9.61,0.00,0.00,0.00,0.16,0.15,-9.61,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.43,0.19,0.06,-9.61,0.00,0.00,0.00,0.16,0.16,-9.61,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.46,0.17,0.06,-9.61,0.00,0.00,0.00,0.14,0.16,-9.61,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.49,0.18,0.05,-9.62,0.00,0.00,0.00,0.15,0.16,-9.62,1.00,-0.00,0.00,0.00,1.00,-0.01,-0.00,0.01,1.00,1

0.52,0.20,0.05,-9.61,0.00,0.00,0.00,0.16,0.17,-9.61,1.00,-0.01,0.00,0.01,1.00,-0.01,-0.00,0.01,1.00,1

0.56,0.15,0.10,-9.60,0.00,0.00,0.00,0.12,0.23,-9.60,1.00,-0.01,0.00,0.01,1.00,-0.01,-0.00,0.01,1.00,1

0.59,0.18,0.05,-9.62,0.00,0.00,0.00,0.15,0.18,-9.62,1.00,-0.01,0.00,0.01,1.00,-0.01,-0.00,0.01,1.00,1

0.62,0.18,0.04,-9.62,0.00,0.00,0.00,0.15,0.18,-9.62,1.00,-0.01,0.00,0.01,1.00,-0.01,-0.00,0.01,1.00,1

0.65,0.18,0.07,-9.62,0.00,0.00,0.00,0.14,0.22,-9.61,1.00,-0.01,0.00,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.69,0.19,0.06,-9.60,0.00,0.00,0.00,0.15,0.21,-9.60,1.00,-0.01,0.00,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.72,0.17,0.05,-9.61,0.00,0.00,0.00,0.13,0.21,-9.61,1.00,-0.01,0.00,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.75,0.15,0.09,-9.63,0.00,0.00,0.00,0.11,0.26,-9.63,1.00,-0.01,0.00,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.79,0.20,0.06,-9.62,0.00,0.00,0.00,0.15,0.24,-9.62,1.00,-0.01,0.00,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.82,0.18,0.07,-9.63,0.00,0.00,0.00,0.14,0.25,-9.62,1.00,-0.01,0.00,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.85,0.16,0.05,-9.62,0.00,0.00,0.00,0.11,0.24,-9.62,1.00,-0.01,0.00,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.88,0.19,0.06,-9.61,0.00,0.00,0.00,0.14,0.26,-9.61,1.00,-0.01,0.00,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.92,0.19,0.07,-9.62,0.00,0.00,0.00,0.14,0.27,-9.62,1.00,-0.01,0.01,0.01,1.00,-0.02,-0.00,0.02,1.00,1

0.95,0.19,0.06,-9.63,0.00,0.00,0.00,0.13,0.27,-9.62,1.00,-0.01,0.01,0.01,1.00,-0.02,-0.01,0.02,1.00,1

0.98,0.17,0.05,-9.62,0.00,0.00,0.00,0.11,0.27,-9.62,1.00,-0.01,0.01,0.01,1.00,-0.02,-0.01,0.02,1.00,1

1.02,0.17,0.05,-9.62,0.00,0.00,0.00,0.11,0.28,-9.62,1.00,-0.01,0.01,0.01,1.00,-0.02,-0.01,0.02,1.00,1

1.05,0.18,0.04,-9.62,0.00,0.00,0.00,0.12,0.27,-9.62,1.00,-0.01,0.01,0.01,1.00,-0.02,-0.01,0.02,1.00,1

1.08,0.17,0.09,-9.61,0.00,0.00,0.00,0.11,0.32,-9.60,1.00,-0.01,0.01,0.01,1.00,-0.02,-0.01,0.02,1.00,1

1.12,0.17,0.04,-9.61,0.00,0.00,0.00,0.10,0.29,-9.61,1.00,-0.01,0.01,0.01,1.00,-0.03,-0.01,0.03,1.00,1

1.15,0.23,0.05,-9.63,0.00,0.00,0.00,0.16,0.30,-9.62,1.00,-0.01,0.01,0.01,1.00,-0.03,-0.01,0.03,1.00,1

1.18,0.17,0.06,-9.61,0.00,0.00,0.00,0.10,0.31,-9.61,1.00,-0.01,0.01,0.01,1.00,-0.03,-0.01,0.03,1.00,1

1.21,0.18,0.06,-9.61,0.00,0.00,0.00,0.11,0.32,-9.60,1.00,-0.01,0.01,0.01,1.00,-0.03,-0.01,0.03,1.00,1

